,McGovern (D),Nixon (R),Total
AL,256923,728701,1006093
AK,32967,55349,95219
AZ,198540,402812,653505
AR,198899,445751,647666
CA,3475847,4602096,8367862
CO,329980,597189,953884
CT,555498,810763,1384277
DE,92283,140357,235516
DC,127627,35226,163421
FL,718117,1857759,2583283
GA,289529,881496,1174772
HI,101409,168865,270274
ID,80826,199384,310379
IL,1913472,2788179,4723236
IN,708568,1405154,2125529
IA,496206,706207,1225944
KS,270287,619812,916095
KY,371159,676446,1067489
LA,298142,686852,1051491
ME,160584,256458,417271
MD,505781,829305,1353812
MA,1332540,1112078,2458756
MI,1459435,1961721,3490325
MN,802346,898269,1741652
MS,126782,505125,645963
MO,698531,1154058,1852589
MT,120197,183976,317603
NE,169991,406298,576289
NV,66016,115750,181766
NH,116435,213724,334055
NJ,1102211,1845502,2997229
NM,141084,235606,385931
NY,2951084,4192778,7161830
NC,438705,1054889,1518612
ND,100384,174109,280514
OH,1558889,2441827,4094787
OK,247147,759025,1029900
OR,392760,486686,927946
PA,1796951,2714521,4592105
RI,194645,220383,415808
SC,189270,478427,677880
SD,139945,166476,307415
TN,357293,813147,1201182
TX,1154291,2298896,3472714
UT,126284,323643,478476
VT,68174,117149,186947
VA,438887,988493,1457019
WA,568334,837135,1470847
WV,277435,484964,762399
WI,810174,989430,1852890
WY,44358,100464,145570
