,Carter (D),Ford (R),Total
AL,659170,504070,1182850
AK,44058,71555,123574
AZ,295602,418642,742719
AR,499614,268753,769396
CA,3742284,3882244,7867117
CO,460353,584367,1081135
CT,647895,719261,1381526
DE,122596,109831,235834
DC,137818,27873,168830
FL,1636000,1469531,3150631
GA,979409,483743,1467458
HI,147375,140003,291301
ID,126549,204151,340932
IL,2271295,2364269,4718833
IN,1014714,1183958,2220362
IA,619931,632863,1279306
KS,430421,502752,957845
KY,615717,531852,1167142
LA,661365,587446,1278439
ME,232279,236320,483208
MD,759612,672661,1432273
MA,1429475,1030276,2547557
MI,1696714,1893742,3653749
MN,1070440,819395,1949931
MS,381809,366846,769360
MO,998387,927443,1953600
MT,149259,173703,328734
NE,233692,359705,607668
NV,92479,101273,201876
NH,147635,185935,339618
NJ,1444653,1509688,3014472
NM,201148,211419,416590
NY,3389558,3100791,6525225
NC,927365,741960,1677906
ND,136078,153470,297094
OH,2011621,2000505,4111873
OK,532442,545708,1092251
OR,490407,492120,1029876
PA,2328677,2205604,4620787
RI,227636,181249,411170
SC,450825,346140,802594
SD,147068,151505,300678
TN,825879,633969,1476346
TX,2082319,1953300,4071884
UT,182110,337908,541198
VT,81044,102085,187655
VA,813896,836554,1697094
WA,717323,777732,1555534
WV,435914,314760,750674
WI,1040232,1004987,2101336
WY,62239,92717,156343
