,Carter (D),Reagan (R),Total
AL,636730,654192,1341929
AK,41842,86112,158445
AZ,246843,529688,873945
AR,398041,403164,837582
CA,3083661,4524858,8587063
CO,367973,652264,1184415
CT,541732,677210,1406285
DE,105754,111252,235668
DC,130231,23313,173889
FL,1419475,2046951,3687026
GA,890733,654168,1597467
HI,135879,130112,303287
ID,110192,290699,437431
IL,1981413,2358049,4749721
IN,844197,1255656,2242033
IA,508672,676026,1317661
KS,326150,566812,979795
KY,616417,635274,1294627
LA,708453,792853,1548591
ME,220974,238522,523011
MD,726161,680606,1540496
MA,1053802,1057631,2524298
MI,1661532,1915225,3909725
MN,954174,873241,2051953
MS,429281,441089,892620
MO,931182,1074181,2099824
MT,118032,206814,363952
NE,166851,419937,640854
NV,66666,155017,247885
NH,108864,221705,383999
NJ,1147364,1546557,2975684
NM,167826,250779,456237
NY,2728372,2893831,6201959
NC,875635,915018,1855833
ND,79189,193695,301545
OH,1752414,2206545,4283603
OK,402026,695570,1149708
OR,456890,571044,1181516
PA,1937540,2261872,4561501
RI,198342,154793,416072
SC,427560,441207,890083
SD,103855,198343,327703
TN,783051,787761,1617616
TX,1881147,2510705,4541637
UT,124266,439687,604222
VT,81891,94598,213207
VA,752174,989609,1866032
WA,650193,865244,1742394
WV,367462,334206,737715
WI,981584,1088845,2273221
WY,49427,110700,176713
