State,Mondale (D),Reagan (R),Total
AL,551899,872849,1441713
AK,62007,138377,207605
AZ,333854,681416,1025897
AR,338646,534774,884406
CA,3922519,5467009,9505423
CO,454975,821817,1295380
CT,569597,890877,1466900
DE,101656,152190,254572
DC,180408,29009,211288
FL,1448816,2730350,4180051
GA,706628,1068722,1776120
HI,147154,185050,335846
ID,108510,297523,411144
IL,2086499,2707103,4819088
IN,841481,1377230,2233069
IA,605620,703088,1319805
KS,333149,677296,1021991
KY,539539,821702,1369345
LA,651586,1037299,1706822
ME,214515,336500,553144
MD,787935,879918,1675873
MA,1239606,1310936,2559453
MI,1529638,2251571,3801658
MN,1036364,1032603,2084449
MS,352192,582377,941104
MO,848583,1274188,2122783
MT,146742,232450,384377
NE,187866,460054,652090
NV,91655,188770,286667
NH,120395,267051,389066
NJ,1261323,1933630,3217862
NM,201769,307101,514370
NY,3119609,3376519,6806810
NC,824287,1346481,2175361
ND,104429,200336,308971
OH,1825440,2678560,4547619
OK,385080,861530,1255676
OR,536479,685700,1226527
PA,2228131,2584323,4844903
RI,197106,212080,410492
SC,344459,615539,968529
SD,116113,200267,317867
TN,711714,990212,1711994
TX,1949276,3433428,5397571
UT,155369,469105,629656
VT,95730,135865,234561
VA,796250,1337078,2146635
WA,807352,1051670,1883910
WV,328125,405483,736742
WI,995740,1198584,2211689
WY,53370,133241,188968
