State,Dukakis (D),Bush (R),Total
AL,549506,815576,1378476
AK,72584,119251,200115
AZ,454029,702541,1171873
AR,349237,466578,827738
CA,4702233,5054917,9887065
CO,621453,728177,1372394
CT,676584,750241,1443394
DE,108647,139639,249891
DC,159407,27590,192877
FL,1656701,2618885,4302313
GA,714792,1081331,1809672
HI,192364,158625,354461
ID,147272,253881,408968
IL,2215940,2310939,4559120
IN,860643,1297763,2168621
IA,670557,545355,1225614
KS,422636,554049,993044
KY,580368,734281,1322517
LA,717460,883702,1628202
ME,243569,307131,555035
MD,826304,876167,1714358
MA,1401415,1194635,2632805
MI,1675793,1965486,3669163
MN,1109471,962337,2096790
MS,363921,557890,931527
MO,1001619,1084953,2093713
MT,168936,190412,365674
NE,259235,397956,661465
NV,132738,206040,350067
NH,163696,281537,451074
NJ,1320352,1743192,3099553
NM,244497,270341,521287
NY,3347882,3081871,6485683
NC,890167,1237258,2134370
ND,127738,166559,297261
OH,1939629,2416549,4393699
OK,483423,678367,1171036
OR,616206,560126,1201694
PA,2194944,2300087,4536251
RI,225123,177761,404620
SC,370554,606443,986009
SD,145560,165415,312991
TN,679794,947233,1636250
TX,2352748,3036829,5427410
UT,207343,428442,647008
VT,115775,124331,243328
VA,859799,1309162,2191609
WA,933516,903835,1865253
WV,341016,310065,653311
WI,1126794,1047499,2191608
WY,67113,106867,176551
