State,Clinton (D),Bush (R),Total
AL,690080,804283,1688060
AK,78294,102000,258506
AZ,543050,572086,1486975
AR,505823,337324,950653
CA,5121325,3630574,11131721
CO,629681,562850,1569180
CT,682318,578313,1616332
DE,126055,102313,289735
DC,192619,20698,227572
FL,2072798,2173310,5314492
GA,1008966,995252,2321125
HI,179310,136822,372842
ID,137013,202645,482142
IL,2453350,1734096,5050157
IN,848420,989375,2305871
IA,586353,504891,1354607
KS,390434,449951,1157236
KY,665104,617178,1492900
LA,815971,733386,1790017
ME,263420,206504,679499
MD,988571,707094,1985046
MA,1318639,805039,2773664
MI,1871182,1554940,4274673
MN,1020997,747871,2347947
MS,400258,487793,981793
MO,1053873,811159,2391565
MT,154507,144207,410611
NE,217344,344346,739283
NV,189148,175828,506318
NH,209040,202484,537945
NJ,1436206,1356865,3343594
NM,261617,212824,569986
NY,3444450,2346649,6926933
NC,1114042,1134661,2611850
ND,99168,136244,308133
OH,1984942,1894310,4939964
OK,473066,592929,1390359
OR,621314,475757,1462643
PA,2239164,1791841,4959810
RI,213302,131605,453478
SC,479514,577507,1202527
SD,124888,136718,336254
TN,933521,841300,1982638
TX,2281815,2496071,6154018
UT,183429,322632,743999
VT,133592,88122,289701
VA,1038650,1150517,2558665
WA,993039,731235,2288228
WV,331001,241974,683711
WI,1041066,930855,2531114
WY,68160,79347,200587
