State,Gore (D),Bush (R),Total
AL,692611,941173,1666272
AK,79004,167398,285560
AZ,685341,781652,1532016
AR,422768,472940,921781
CA,5861203,4567429,10965856
CO,738227,883748,1741368
CT,816015,561094,1459525
DE,180068,137288,327622
DC,171923,18073,201894
FL,2912253,2912790,5963110
GA,1116230,1419720,2596804
HI,205286,137845,367951
ID,138637,336937,501621
IL,2589026,2019421,4742123
IN,901980,1245836,2199302
IA,638517,634373,1315563
KS,399276,622332,1072218
KY,638898,872492,1544187
LA,792344,927871,1765656
ME,319951,286616,651817
MD,1145782,813797,2025480
MA,1616487,878502,2702984
MI,2170418,1953139,4232501
MN,1168266,1109659,2438685
MS,404614,572844,994184
MO,1111138,1189924,2359892
MT,137126,240178,410997
NE,231780,433862,697019
NV,279978,301575,608970
NH,266348,273559,569081
NJ,1788850,1284173,3187226
NM,286783,286417,598605
NY,4107697,2403374,6821999
NC,1257692,1631163,2911262
ND,95284,174852,288256
OH,2186190,2351209,4705457
OK,474276,744337,1234229
OR,720342,713577,1533968
PA,2485967,2281127,4913119
RI,249508,130555,409112
SC,565561,785937,1382717
SD,118804,190700,316269
TN,981720,1061949,2076181
TX,2433746,3799639,6407637
UT,203053,515096,770754
VT,149022,119775,294308
VA,1217290,1437490,2739447
WA,1247652,1108864,2487433
WV,295497,336475,648124
WI,1242987,1237279,2598607
WY,60481,147947,218351
