State,Kerry (D),Bush (R),Total
AL,693933,1176394,1883449
AK,111025,190889,312598
AZ,893524,1104294,2012585
AR,469953,572898,1054945
CA,6745485,5509826,12421852
CO,1001732,1101255,2130330
CT,857488,693826,1578769
DE,200152,171660,375190
DC,202970,21256,227586
FL,3583544,3964522,7609810
GA,1366149,1914254,3301875
HI,231708,194191,429013
ID,181098,409235,598447
IL,2891550,2345946,5274322
IN,969011,1479438,2468002
IA,741898,751957,1506908
KS,434993,736456,1187756
KY,712733,1069439,1795882
LA,820299,1102169,1943106
ME,396842,330201,740752
ME1,211703,165824,384392
ME2,185139,164377,356360
MD,1334493,1024703,2386678
MA,1803800,1071109,2912388
MI,2479183,2313746,4839252
MN,1445014,1346695,2828387
MS,458094,684981,1152145
MO,1259171,1455713,2731364
MT,173710,266063,450445
NE,254328,512814,778186
NE1,96314,169888,270089
NE2,97858,153041,254360
NE3,60156,189885,253664
NV,397190,418690,829587
NH,340511,331237,677738
NJ,1911430,1670003,3611691
NM,370942,376930,756304
NY,4314280,2962567,7391036
NC,1525849,1961166,3501007
ND,111052,196651,312833
OH,2741167,2859768,5627908
OK,503966,959792,1463758
OR,943163,866831,1836782
PA,2938095,2793847,5769590
RI,259760,169046,437134
SC,661699,937974,1617730
SD,149244,232584,388215
TN,1036477,1384375,2437319
TX,2832704,4526917,7410765
UT,241199,663742,927844
VT,184067,121180,312309
VA,1454742,1716959,3198367
WA,1510201,1304894,2859084
WV,326541,423778,755887
WI,1489504,1478120,2997007
WY,70776,167629,243428
