,Obama (D),McCain (R),Total
AL,813479,1266546,2099819
AK,123594,193841,326197
AZ,1034707,1230111,2293475
AR,422310,638017,1086617
CA,8274473,5011781,13561900
CO,1288633,1073629,2401462
CT,997772,629428,1646797
DE,255459,152374,412412
DC,245800,17367,265853
FL,4282074,4045624,8390744
GA,1844123,2048759,3924486
HI,325871,120566,453568
ID,236440,403012,655122
IL,3419348,2031179,5522371
IN,1374039,1345648,2751054
IA,828940,682379,1537123
KS,514765,699655,1235872
KY,751985,1048462,1826620
LA,782989,1148275,1960761
ME,421923,295273,731163
MD,1629467,959862,2631596
MA,1904097,1108854,3080985
MI,2872579,2048639,5001766
MN,1573354,1275409,2910369
MS,554662,724597,1289865
MO,1441911,1445814,2925205
MT,231667,242763,490302
NE,333319,452979,801281
NV,533736,412827,967848
NH,384826,316534,710970
NJ,2215422,1613207,3868237
NM,472422,346832,830158
NY,4804945,2418323,7640931
NC,2142651,2128474,4310789
ND,141278,168601,316621
OH,2940044,2677820,5708350
OK,502496,960165,1462661
OR,1037291,738475,1827864
PA,3276363,2655885,6013272
RI,296571,165391,471766
SC,862449,1034896,1920969
SD,170924,203054,381975
TN,1087437,1479178,2599749
TX,3528633,4479328,8077795
UT,327670,596030,952370
VT,219262,98974,325046
VA,1959532,1725005,3723260
WA,1750848,1229216,3036878
WV,303857,397466,713451
WI,1677211,1262393,2983417
WY,82868,164958,254658
