State,Clinton (D),Trump (R),Total
AL,729547,1318255,2123372
AK,116454,163387,318608
AZ,1161167,1252401,2573165
AR,380494,684872,1130676
CA,8753792,4483814,14181604
CO,1338870,1202484,2780247
CT,897572,673215,1644920
DE,235603,185127,443814
DC,282830,12723,311268
FL,4504975,4617886,9420039
GA,1877963,2089104,4114732
HI,266891,128847,428937
ID,189765,409055,690255
IL,3090729,2146015,5536424
IN,1033126,1557286,2734958
IA,653669,800983,1566031
KS,427005,671018,1184402
KY,628854,1202971,1924149
LA,780154,1178638,2029032
ME,357735,335593,747927
MD,1677928,943169,2781446
MA,1995196,1090893,3325046
MI,2268839,2279543,4799284
MN,1367716,1322951,2944813
MS,485131,700714,1209357
MO,1071068,1594511,2808605
MT,177709,279240,497147
NE,284494,495961,844227
NV,539260,512058,1125385
NH,348526,345790,744296
NJ,2148278,1601933,3874046
NM,385234,319667,798319
NY,4556118,2819533,7721442
NC,2189316,2362631,4741564
ND,93758,216794,344360
OH,2394164,2841005,5496487
OK,420375,949136,1452992
OR,1002106,782403,2001336
PA,2926441,2970733,6165478
RI,252525,180543,464144
SC,855373,1155389,2103027
SD,117458,227721,370093
TN,870695,1522925,2508027
TX,3877868,4685047,8969226
UT,310676,515231,1131430
VT,178573,95369,315067
VA,1981473,1769443,3984631
WA,1742718,1221747,3317019
WV,188794,489371,714423
WI,1382536,1405284,2976150
WY,55973,174419,255849
