State,Biden (D),Trump (R),Total
AL,849624,1441170,2323282
AK,153778,189951,359530
AZ,1672143,1661686,3397388
AR,423932,760647,1219069
CA,11110250,6006429,17511373
CO,1804352,1364607,3256980
CT,1080680,715291,1824280
DE,296268,200603,504010
DC,317323,18586,344356
FL,5297045,5668731,11091758
GA,2473633,2461854,4997716
HI,366130,196864,574469
ID,287021,554119,868241
IL,3471915,2446891,6038952
IN,1242416,1729519,3033118
IA,759061,897672,1690871
KS,570323,771406,1372303
KY,772474,1326646,2136768
LA,856034,1255776,2148062
ME,435072,360737,819461
MD,1985023,976414,3037030
MA,2382202,1167202,3631402
MI,2804040,2649852,5547053
MN,1717049,1484048,3277195
MS,539494,756731,1313821
MO,1253014,1718736,3025962
MT,244786,343602,603674
NE,374583,556846,956383
NV,703486,669890,1405376
NH,424921,365654,806182
NJ,2608335,1883274,4564202
NM,501614,401894,923965
NY,5244005,3250223,8630798
NC,2684292,2758773,5524802
ND,114902,235595,361819
OH,2679165,3154834,5932398
OK,503890,1020280,1560699
OR,1340383,958448,2374321
PA,3461100,3378946,6938314
RI,307486,199922,517757
SC,1091541,1385103,2513329
SD,150471,261043,422609
TN,1143711,1852475,3053851
TX,5259126,5890347,11315056
UT,560282,865140,1505828
VT,242820,112704,367428
VA,2413568,1962430,4460524
WA,2369612,1584651,4087631
WV,235984,545382,794652
WI,1630866,1610184,3298041
WY,73491,193559,276765
