State,Harris (D),Trump(R),Total
AL,772412,1462616,2265090
AK,140026,184458,338177
AZ,1582860,1770242,3400726
AR,396905,759241,1182676
CA,9276179,6081697,15889184
CO,1728159,1377441,3192745
CT,992053,736918,1759010
DE,289758,214351,512912
DC,294185,21076,325869
FL,4683038,6110125,10935465
GA,2548017,2663117,5275133
HI,313044,193661,516701
ID,274972,605246,908623
IL,3062893,2449181,5652237
IN,1163673,1720347,2944873
IA,707278,927019,1663506
KS,544853,758802,1335445
KY,704043,1337494,2076826
LA,766870,1208505,2006975
ME,435652,377977,831375
ME1,258863,165214,433709
ME2,176789,212763,397666
MD,1902577,1035550,3038334
MA,2126518,1251303,3473668
MI,2736533,2816636,5674843
MN,1656979,1519032,3253920
MS,466668,747744,1229584
MO,1200599,1751986,3004097
MT,231906,352079,604181
NE,369995,564816,952182
NE1,136153,177666,320194
NE2,163541,148905,318646
NE3,70301,238245,313342
NV,705197,751205,1484840
NH,418488,395523,826257
NJ,2220713,1968215,4288409
NM,478802,423391,923403
NY,4619543,3579519,8304889
NC,2715375,2898423,5699141
ND,112327,246505,368155
OH,2533703,3180122,5800691
OK,499599,1036213,1566173
OR,1240600,919480,2244493
PA,3423042,3543308,7058351
RI,285156,214406,513386
SC,1028452,1483747,2548140
SD,146859,272081,428922
TN,1056265,1966865,3072624
TX,4835250,6393597,11411799
UT,562566,883818,1513398
VT,235791,119395,369422
VA,2335395,2075085,4505941
WA,2245849,1530923,3924243
WV,214309,533556,763842
WI,1668229,1697626,3422918
WY,69527,192633,269048
